lab,full_name,group,N,pvalue,OR,effect_estimate,std_error,prs_r2,Bonferroni,FDR
DesGam,Acarboxyprothrombin [Mass/volume] in Serum or Plasma,blood,128,3.93E-09,0.002685017,-5.92006809,0.925139136,-0.001554334,TRUE,TRUE
AN.GAP,Anion gap serum/plasma,metabolic,67583,1.02E-08,1.022793625,0.022537732,0.003934442,-0.000120958,TRUE,TRUE
UTP,UTP,urinary,1580,1.31E-08,1.114676682,0.108564392,0.018975618,0.035661725,TRUE,TRUE
O2SatC,O2SatC,blood,8736,1.31E-08,0.95414918,-0.046935247,0.00824738,0.039543203,TRUE,TRUE
CD8_3.,CD8_3#,immune,1667,1.52E-08,0.849653809,-0.162926296,0.028620387,0.017841898,TRUE,TRUE
LYMPM,Lymphocytes/100 leukocytes in Blood by Manual count,immune,11539,2.57E-08,0.951708679,-0.0494963,0.008881356,-0.001134875,TRUE,TRUE
S.T.HORIZONTAL.AXIS,ST segment axis.horizontal plane,cardiovascular,7441,3.44E-08,1.070362705,0.067997567,0.012307348,0.006601067,TRUE,TRUE
Schd,Schd,toxicology/pharmacology,4657,4.70E-08,1.084446886,0.081070075,0.014811996,0.009649556,TRUE,TRUE
CD4.,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,immune,1658,4.85E-08,0.863630019,-0.14661082,0.026721408,0.009211113,TRUE,TRUE
KTIME,Clot formation [Time] in Blood by Thromboelastography,liver,777,5.82E-08,0.823698325,-0.193950927,0.035257481,0.089835255,TRUE,TRUE
Baso,Basophils [#/volume] in Blood,immune,28149,1.10E-07,0.968279338,-0.032234661,0.006069729,0.001746188,TRUE,TRUE
KapLCQ,Kappa light chains.free [Mass/volume] in Serum,toxicology/pharmacology,1049,1.15E-07,1.13899313,0.130144653,0.024342911,-0.004304361,TRUE,TRUE
LymAbs,Lymphocytes [#/volume] in Blood by Automated count,immune,27743,1.57E-07,1.028997963,0.028585478,0.005449232,-0.000671814,TRUE,TRUE
CBil,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,liver,26088,1.64E-07,1.033672166,0.033117672,0.006322561,-0.001701894,TRUE,TRUE
CoHgb,Carboxyhemoglobin % in blood,toxicology/pharmacology,7041,1.69E-07,1.06612436,0.064029979,0.012225364,0.005312274,TRUE,TRUE
eGFR,eGFR,kidney,903,2.29E-07,0.857757964,-0.153433312,0.02937586,0.036820271,TRUE,TRUE
Monocy,Monocytes [#/volume] in Blood by Manual count,immune,28863,2.62E-07,0.971025516,-0.029402533,0.005708678,0.003428721,TRUE,TRUE
PR.INTERVAL,PP interval mean,cardiovascular,7429,3.19E-07,1.064467538,0.06247471,0.012206935,0.005366694,TRUE,TRUE
VWFAg,VWFAg,other,299,5.63E-07,1.567412727,0.449426315,0.087572725,0.066166116,TRUE,TRUE
QT3,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,endocrine,4213,5.78E-07,0.921938006,-0.081277296,0.016231021,0.001652507,TRUE,TRUE
AT3,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,blood,1128,5.94E-07,0.851440952,-0.160825127,0.031966339,0.036542691,TRUE,TRUE
CD19_percent_,CD19%,immune,1193,5.98E-07,1.179143238,0.164788105,0.032793848,0.024742282,TRUE,TRUE
I.LYM_percent_,Lymphocytes %,immune,1050,1.08E-06,0.866303585,-0.143519872,0.029225985,0.008176281,TRUE,TRUE
VWMFAg,von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay,immune,410,1.56E-06,1.399559321,0.336157417,0.06875845,0.066113878,TRUE,TRUE
X125DHy,Calcitriol [Mass/volume] in Serum or Plasma,metabolic,2945,1.66E-06,0.914558286,-0.089314078,0.018597216,0.00353134,TRUE,TRUE
X56.16.,56+16%,other,1138,2.10E-06,0.856313635,-0.155118573,0.032497522,0.022666589,TRUE,TRUE
EOSIRE,Eosinophils %,immune,33224,2.17E-06,1.028336937,0.027942873,0.00589788,0.000225486,TRUE,TRUE
HEMOGLOBIN,HEMOGLOBIN,blood,712,2.18E-06,0.848586371,-0.164183407,0.034315043,0.037050535,TRUE,TRUE
MONOM,Monocytes/100 leukocytes in Blood by Manual count,immune,11155,2.21E-06,0.957373239,-0.043561954,0.009197688,0.00613678,TRUE,TRUE
POCA1C,Hemoglobin A1c (Glycated),blood,3631,2.56E-06,1.073351476,0.070785974,0.015023055,0.007219602,TRUE,TRUE
O2Sat,Oxygen saturation Calculated from oxygen partial pressure in Arterial blood,blood,11188,2.72E-06,0.963608562,-0.037070123,0.007897364,0.05279315,TRUE,TRUE
VancTr,Vancomycin [Mass/volume] in Serum or Plasma,toxicology/pharmacology,814,2.86E-06,1.179917776,0.165444754,0.035032209,0.0376623,TRUE,TRUE
Cl.WB,Chloride [Moles/volume] in Blood,blood,7396,3.08E-06,0.949566228,-0.05175,0.011081699,0.001713158,TRUE,TRUE
TBil,Total Bilirubin serum/plasma,metabolic,61659,3.30E-06,1.012659305,0.012579846,0.002704206,0.012834843,TRUE,TRUE
X25DTot,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,metabolic,10578,3.55E-06,0.952766047,-0.048385896,0.010430756,0.004011615,TRUE,TRUE
HEMATOCRIT,HEMATOCRIT,blood,713,4.42E-06,0.848929214,-0.163779472,0.035340518,0.034583554,TRUE,TRUE
TU.Pro,Protein [Mass/volume] in 24 hour Urine,urinary,1779,4.94E-06,1.118636202,0.112110266,0.024456748,0.022778847,TRUE,TRUE
Fbrngn,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,blood,6356,5.64E-06,0.939948543,-0.061930147,0.013627903,0.0009915,TRUE,TRUE
TROPONIN_I,Troponin I.cardiac [Mass/volume] in Serum or Plasma,cardiovascular,341,6.28E-06,1.188540548,0.172726124,0.037493956,0.021520115,TRUE,TRUE
I.LYM.,Lymphocytes [#/volume] in Blood by Automated count,immune,1049,1.06E-05,0.872651333,-0.136219193,0.030745892,-0.014416429,TRUE,TRUE
Eos,Eos,immune,28506,1.81E-05,1.026071693,0.025737621,0.006002057,0.00116747,TRUE,TRUE
FMoncl,Monocytes+Macrophages/100 leukocytes in Body fluid by Manual count,immune,1379,2.07E-05,1.121074104,0.114287247,0.026725408,0.01693376,TRUE,TRUE
USpGr,Specific gravity of Urine by Test strip,urinary,44488,2.21E-05,0.981450068,-0.01872414,0.004412994,0.000251523,TRUE,TRUE
Pr24Hr,Pr24Hr,urinary,1278,2.72E-05,1.1399855,0.131015543,0.031089054,0.021633648,TRUE,TRUE
ViARet,Retinol [Mass/volume] in Serum or Plasma,metabolic,2189,3.77E-05,1.119849966,0.113194718,0.027401712,0.008985329,TRUE,TRUE
ANGL,Clot angle in Blood by Thromboelastography,blood,778,4.21E-05,1.160617056,0.148951809,0.036073385,0.059196451,TRUE,TRUE
VitaB6,Pyridoxine [Mass/volume] in Serum or Plasma,metabolic,1954,4.54E-05,0.906323246,-0.098359253,0.024055461,0.008502885,TRUE,TRUE
Myelo,Myelocytes/100 leukocytes in Blood by Manual count,immune,8034,4.76E-05,0.95147432,-0.049742582,0.012222086,0.002244256,TRUE,TRUE
LamLCQ,Lambda light chains.free [Mass/volume] in Serum or Plasma,immune,1047,4.86E-05,1.110257373,0.104591856,0.025614088,0.005631573,TRUE,TRUE
CPepti,C peptide [Mass/volume] in Serum or Plasma,endocrine,1093,5.72E-05,1.152161953,0.141640136,0.035035749,0.016704914,TRUE,TRUE
CD4_percent_,CD3+CD4+ (T4 helper) cells/100 cells in Blood,immune,1787,6.75E-05,0.898359219,-0.10718527,0.026822971,0.015199807,TRUE,TRUE
Thiamn,Thiamine pyrophosphate [Moles/volume] in Blood,metabolic,1638,7.90E-05,0.902801053,-0.102253067,0.025824964,0.013746312,FALSE,TRUE
A1GL,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,liver,364,8.00E-05,1.220237304,0.199045351,0.049743692,0.072431661,FALSE,TRUE
HORIZONTAL.AXIS..TERMINAL.40.MS,QRS axis,cardiovascular,7458,9.64E-05,1.047330232,0.04624429,0.011850627,-0.002009602,FALSE,TRUE
VLDL,VLDL,cardiovascular,722,0.000144969,1.13978015,0.130835393,0.034221103,0.026730319,FALSE,TRUE
F.Gluc,Glucose [Mass/volume] in Body fluid,metabolic,1576,0.000156579,1.098590942,0.094028397,0.024794332,0.017114599,FALSE,TRUE
Pralbu,Prealbumin [Mass/volume] in Serum or Plasma,metabolic,7109,0.000191711,1.043210745,0.042303212,0.01133495,0.004056738,FALSE,TRUE
MONORE,Monocytes/100 leukocytes in Blood by Automated count,immune,50825,0.000254108,0.98297666,-0.017169903,0.004693315,0.002198738,FALSE,TRUE
FLymph,Lymphocytes [#/volume] in Body fluid by Manual count,immune,3030,0.000274589,0.935190812,-0.067004693,0.018389579,0.00397515,FALSE,TRUE
WBINR,INR,blood,2778,0.000316974,1.066542091,0.064421725,0.017862545,0.00523034,FALSE,TRUE
N.M_Cr,Metanephrine/Creatinine [Mass Ratio] in 24 hour Urine,urinary,401,0.000320287,1.171407329,0.158205871,0.043508157,0.073664425,FALSE,TRUE
EOSIM,Eosinophils/100 leukocytes in Blood by Automated count,immune,36038,0.000359867,1.02044509,0.020238895,0.005671897,0.000101501,FALSE,TRUE
FRONTAL.AXIS.P,P wave axis,cardiovascular,7300,0.000380851,0.958247308,-0.042649385,0.011996703,0.003619008,FALSE,TRUE
PTTCtr,aPTT in Platelet poor plasma by Coagulation assay,blood,20764,0.000415145,1.017591977,0.01743903,0.004938922,-0.003613084,FALSE,TRUE
SerFol,Folate [Mass/volume] in Serum or Plasma,metabolic,6580,0.000417106,0.955445301,-0.045577763,0.012907358,0.002744289,FALSE,TRUE
FRONTAL.AXIS.INITIAL.40.MS,FRONTAL AXIS INITIAL 40 MS,cardiovascular,7594,0.000435388,0.959362155,-0.041486637,0.011787318,0.002747616,FALSE,TRUE
FRONTAL.AXIS.TERMINAL.40.MS,FRONTAL AXIS TERMINAL 40 MS,cardiovascular,7669,0.0004511,1.042526243,0.041646848,0.011864708,0.003837257,FALSE,TRUE
Hm,Hm,other,3169,0.000479865,0.939580677,-0.062321591,0.017826562,0.003759308,FALSE,TRUE
ALBM,Albumin serum/plasma,liver,364,0.000565455,0.845982901,-0.167256131,0.047974537,0.045647512,FALSE,TRUE
RBCFol,Folate [Mass/volume] in Red Blood Cells,metabolic,4909,0.000580396,1.04891614,0.047757384,0.013869821,0.004472345,FALSE,TRUE
CD8_3_percent_,CD8_3%,immune,1795,0.000586452,0.910512608,-0.093747533,0.027212419,0.009705658,FALSE,TRUE
NURSING_WHOLE_BLOOD_GLUCOSE,Glucose [Mass/volume] in Blood,ob/gyn,356,0.000601368,1.172441454,0.159088288,0.045876608,0.063993205,FALSE,TRUE
NT.PRO.BNP,NT-PRO-BNP,cardiovascular,327,0.000658227,1.182289526,0.167452834,0.048541783,0.029220357,FALSE,TRUE
Amm,Ammonia [Moles/volume] in Plasma,metabolic,3341,0.000672261,0.943366611,-0.058300301,0.017123806,0.003117033,FALSE,TRUE
FSH1,Follitropin [Units/volume] in Serum or Plasma,endocrine,3917,0.000839606,0.921363455,-0.08190069,0.024504389,-0.014332949,FALSE,TRUE
X25DRIA,25DRIA,metabolic,592,0.000897904,0.851774848,-0.160433051,0.048027715,0.01959983,FALSE,TRUE
Insuln,Insulin [Units/volume] in Serum or Plasma,endocrine,1151,0.000994685,1.141668608,0.132490883,0.040132818,0.009724495,FALSE,TRUE
UUrob,Urobilinogen [Presence] in Urine by Test strip,urinary,18860,0.001019965,1.020641883,0.020431726,0.006218653,0.005451796,FALSE,TRUE
MBFra,Creatine kinase.MB [Mass/volume] in Serum or Plasma,cardiovascular,276,0.00107597,1.193175905,0.176618579,0.053290622,0.040603184,FALSE,TRUE
Ca_Ionized_HH,Calcium.ionized [Mass/volume] in Blood,metabolic,149,0.001111908,0.752787183,-0.283972716,0.084710246,0.102605788,FALSE,TRUE
B2Mcg,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,immune,412,0.001130678,1.172194676,0.158877784,0.048364424,0.032453415,FALSE,TRUE
IgA,IgA [Mass/volume] in Serum or Plasma,immune,8414,0.001229477,1.053874002,0.052472901,0.016229587,0.002724999,FALSE,TRUE
CRTCLR,CRTCLR,other,150,0.001238332,0.800639319,-0.222344722,0.067055265,0.087486806,FALSE,TRUE
Thiopr,Thiopurine methyltransferase [Enzymatic activity/volume] in Blood,metabolic,164,0.001271562,1.356764066,0.305102501,0.092706628,0.073592642,FALSE,TRUE
Al.Ser,Albumin serum/plasma,liver,609,0.001328192,0.845344256,-0.168011331,0.052064539,0.022436663,FALSE,TRUE
FRBC1,Erythrocytes [#/volume] in Blood by Automated count,blood,1907,0.001719613,1.067958214,0.065748614,0.020935185,-0.002366037,FALSE,TRUE
LDLCho,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,metabolic,654,0.001958003,0.886076378,-0.120952127,0.038861786,0.014827563,FALSE,TRUE
PltAsp,PltAsp,other,287,0.002681833,1.179334768,0.164950524,0.054291999,0.05579016,FALSE,TRUE
DHUD,DHUD,metabolic,766,0.00272109,0.901158739,-0.104073855,0.034581674,0.021511173,FALSE,TRUE
sn,sn,other,2654,0.002792381,0.962130576,-0.038605104,0.012898239,0.006468369,FALSE,TRUE
Trnsfr,Transferrin [Mass/volume] in Serum or Plasma,metabolic,1963,0.002880896,1.065334032,0.063288395,0.021203103,0.014540986,FALSE,TRUE
VD25,Calcitriol [Mass/volume] in Serum or Plasma,metabolic,3589,0.003129914,0.951612664,-0.049597193,0.016772671,0.003230685,FALSE,TRUE
TotVl,Volume in Urine collected for unspecified duration,toxicology/pharmacology,5508,0.003409637,1.042702403,0.041815807,0.014273184,0.000634565,FALSE,TRUE
Cerul,Ceruloplasmin [Mass/volume] in Serum or Plasma,blood,1517,0.004193406,1.09789039,0.093390511,0.03255963,0.014734652,FALSE,TRUE
A2GL,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,liver,363,0.004310631,1.151082855,0.140703113,0.048902054,0.042627478,FALSE,TRUE
RVVT,dRVVT actual/normal (normalized LA screen),immune,2048,0.004346904,1.076471914,0.073688947,0.025805166,0.003963837,FALSE,TRUE
FIO2,Oxygen/Inspired gas Respiratory system --on ventilator,blood,8165,0.004864553,1.02560801,0.025285617,0.008976534,0.004951029,FALSE,TRUE
Vancomy,Vancomycin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,1756,0.00500989,1.068052882,0.065837254,0.023423459,0.014650983,FALSE,TRUE
Osmol,Osmolality of Serum or Plasma,blood,1974,0.00545922,1.063985468,0.062021733,0.022291034,0.004501109,FALSE,TRUE
Q.ONSET,Q ONSET,cardiovascular,7693,0.005980607,1.032476582,0.031960365,0.011622777,0.000438473,FALSE,TRUE
BAbs,Basophils [#/volume] in Blood by Automated count,immune,27210,0.006128508,1.016241993,0.016111503,0.00587782,0.00236902,FALSE,TRUE
HGB_A1C,Hemoglobin A1c (Glycated),metabolic,315,0.006381753,1.150002903,0.139764466,0.050814054,0.04935806,FALSE,TRUE
FK.506,Tacrolimus [Mass/volume] in Blood,liver,1666,0.007038623,1.059406935,0.057709256,0.021377636,0.011952687,FALSE,TRUE
